data,curso,nota,comentario,recomendaria
2025-05-03,SQL Essencial,1,Aula cansativa,Não
2025-05-11,Python para Iniciantes,1,Conteúdo confuso,Não
2025-05-15,SQL Essencial,1,Não recomendo,Não
2025-05-14,Data Analysis com Pandas,1,Aula cansativa,Não
2025-05-10,SQL Essencial,1,Conteúdo confuso,Não
2025-05-08,Python para Iniciantes,1,Não gostei,Não
2025-05-04,SQL Essencial,1,Não recomendo,Não
2025-05-11,Python para Iniciantes,1,Aula cansativa,Não
2025-05-15,SQL Essencial,1,Conteúdo confuso,Não
2025-05-01,Data Analysis com Pandas,1,Muito fraco,Não
2025-05-11,UI/UX Design,1,Não recomendo,Não
2025-05-12,Python para Iniciantes,1,Não gostei,Não
2025-05-07,SQL Essencial,1,Muito fraco,Não
2025-05-11,Data Analysis com Pandas,1,Não gostei,Não
2025-05-12,Data Analysis com Pandas,1,Conteúdo confuso,Não
2025-05-03,Data Analysis com Pandas,1,Conteúdo confuso,Não
2025-05-08,Python para Iniciantes,1,Muito fraco,Não
2025-05-08,SQL Essencial,1,Não recomendo,Não
